"objects","ports","Emag","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
16.697,0,0.054819,1,0.024713,-0.12691,0.071086,0.1602
16.697,0,0.054819,1,0.024781,-0.12698,0.071084,0.1602
16.697,0,0.054819,1,0.024849,-0.12705,0.071081,0.1602
16.697,0,0.054819,1,0.024918,-0.12712,0.071079,0.1602
16.697,0,0.054819,1,0.024986,-0.12719,0.071076,0.1602
16.697,0,0.054819,1,0.025054,-0.12725,0.071074,0.16019
16.697,0,0.054819,1,0.025122,-0.12732,0.071071,0.16019
16.697,0,0.054819,1,0.02519,-0.12739,0.071069,0.16019
16.697,0,0.054819,1,0.025258,-0.12746,0.071066,0.16019
16.697,0,0.054819,1,0.025326,-0.12753,0.071063,0.16019
16.697,0,0.054819,1,0.025394,-0.12759,0.071061,0.16019
16.697,0,0.054819,1,0.025462,-0.12766,0.071058,0.16018
16.697,0,0.054819,1,0.02553,-0.12773,0.071056,0.16018
16.697,0,0.054819,1,0.025598,-0.1278,0.071053,0.16018
16.697,0,0.054819,1,0.025666,-0.12787,0.071051,0.16018
16.697,0,0.054819,1,0.025735,-0.12793,0.071048,0.16018
16.697,0,0.050615,1,0.025803,-0.128,0.071046,0.16018
16.697,0,0.050615,1,0.025871,-0.12807,0.071043,0.16017
16.697,0,0.050615,1,0.025939,-0.12814,0.071041,0.16017
16.697,0,0.050615,1,0.026007,-0.12821,0.071038,0.16017
16.697,0,0.050615,1,0.026075,-0.12827,0.071036,0.16017
16.697,0,0.050615,1,0.026143,-0.12834,0.071033,0.16017
16.697,0,0.050615,1,0.026211,-0.12841,0.07103,0.16017
16.697,0,0.050615,1,0.026279,-0.12848,0.071028,0.16017
16.697,0,0.050615,1,0.026347,-0.12855,0.071025,0.16016
16.697,0,0.050615,1,0.026415,-0.12861,0.071023,0.16016
16.697,0,0.050615,1,0.026483,-0.12868,0.07102,0.16016
16.697,0,0.050615,1,0.026551,-0.12875,0.071018,0.16016
16.697,0,0.050615,1,0.02662,-0.12882,0.071015,0.16016
16.697,0,0.050615,1,0.026688,-0.12889,0.071013,0.16016
16.697,0,0.050615,1,0.026756,-0.12895,0.07101,0.16015
16.697,0,0.050615,1,0.026824,-0.12902,0.071008,0.16015
16.697,0,0.050615,1,0.026892,-0.12909,0.071005,0.16015
16.697,0,0.050615,1,0.02696,-0.12916,0.071002,0.16015
16.697,0,0.050615,1,0.027028,-0.12923,0.071,0.16015
16.697,0,0.050615,1,0.027096,-0.12929,0.070997,0.16015
16.697,0,0.050615,1,0.027164,-0.12936,0.070995,0.16014
16.697,0,0.050615,1,0.027232,-0.12943,0.070992,0.16014
